title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime_video,disney+,imdb_raw,rotten_raw,themes,description
Snowfall,2017,18+,8.2/10,78/100,0,1,0,0,8.2,78.0,Crime Drama,A look at the early days of the crack cocaine epidemic in Los Angeles during the beginning of the 1980s.
The Venture Bros.,2004,18+,8.5/10,78/100,0,1,0,0,8.5,78.0,Animation Action Adventure,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons."
The Strain,2014,18+,7.3/10,78/100,0,1,0,0,7.3,78.0,Drama Fantasy Horror,A mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism ravages the city of New York.
The Terror,2018,18+,7.9/10,78/100,0,1,1,0,7.9,78.0,Adventure Drama Horror,"Supernatural, semihistorical, horror anthology series, where each season is inspired by a different infamous or mysterious real life historical tragedy."
Zoey's Extraordinary Playlist,2020,16+,8.1/10,78/100,0,1,0,0,8.1,78.0,Comedy Drama Musical,A young woman discovers she has the ability to hear the innermost thoughts of people around her as songs and musical numbers.
The League,2009,18+,8.2/10,78/100,0,1,0,0,8.2,78.0,Comedy Sport,An ensemble comedy that follows a group of old friends in a fantasy football league who care deeply about one another -- so deeply that they use every opportunity to make each other's lives miserable.
Malcolm in the Middle,2000,7+,8.0/10,78/100,0,1,0,0,8.0,78.0,Comedy Family,"A gifted young teen tries to survive life with his dimwitted, dysfunctional family."
Dollhouse,2009,16+,7.7/10,78/100,0,1,0,0,7.7,78.0,Drama Mystery Sci-Fi,"A futuristic laboratory has erased the identities of lost young people, and now imprints them with the temporary identities they need to fulfill assignments for clients."
This Way Up,2019,0,7.8/10,78/100,0,1,0,0,7.8,78.0,Comedy,A young woman puts her life back together after suffering from a nervous breakdown.
The Great,2020,18+,8.1/10,78/100,0,1,0,0,8.1,78.0,Biography Comedy Drama,"A royal woman living in rural Russia during the 18th century is forced to choose between her own personal happiness and the future of Russia, when she marries an Emperor."
My Name Is Earl,2005,16+,7.7/10,78/100,0,1,0,0,7.7,78.0,Comedy,"A ne'er do well wins $100,000 in the lottery and decides to right all the wrongs from his past with his newfound realization."
Scandal,2012,16+,7.7/10,78/100,0,1,0,0,7.7,78.0,Drama Thriller,A former White House Communications Director starts her own crisis management firm only to realize her clients are not the only ones with secrets.
Motherland: Fort Salem,2020,16+,7.2/10,78/100,0,1,0,0,7.2,78.0,Drama Fantasy Sci-Fi,A trio of witches is trained to become powerful weapons for the American military.
